Season,Episode,Category,Value,Question,Answer
40,8998,TICK TOCK,$800,"The mysteriously namedOhio Clockhas stood in the U.S. Senate for two centuries; here, it's adjusted for this for the first time in 1918",daylight saving
40,8998,FACE BOOKS,$800,"Hawthorne's story ""The Great Stone Face"" refers to a natural landmark that was in the White Mountains of this state",New Hampshire
40,8998,INSTA-GRAHAM,$800,"Shedescribes herself on Instagram as an actress, filmmaker & big nerd",Heather Graham
40,8998,CANALS,$1200,"Although very short at 748 feet, this city's picturesqueWinter Canalis crossed by three bridges, including the Hermitage Bridge",St. Petersburg
40,8998,"""I"" + 4",$1200,"Last name ofMax, son of a famous actor father & famous actress mother, Sinéad Cusack",Irons
40,8998,TOO MUCH OF SOMETHING,$1200,"Hi, I'm shame. Do you know my cousin, this? He has a complex named after him, when one is awash with feelings of having done wrong",guilt
40,8998,TICK TOCK,$1200,An iconic tower in this capital city has displayed a clock made by local company Seiko since 1966,Tokyo
40,8998,FACE BOOKS,$1200,"He deciphered the power (& plot) of hero myths in his 1949 work ""The Hero with a Thousand Faces""",Campbell
40,8998,INSTA-GRAHAM,$1200,"Honey Maid Graham crackers posted a hack for making these treats: put the chocolate inside the marshmallow, then roast",s'mores
40,8998,CANALS,$1600,"When the Elbe Lateral Canal opened in 1977, it allowed ships traveling to this port to avoid passing through East Germany",Hamburg
40,8998,"""I"" + 4",$1600,"William Butler Yeats got nationalistic as he urged these ""Poets, learn your trade, sing whatever is well made""",Irish
40,8998,TOO MUCH OF SOMETHING,$1600,"Hyperlipidemia, too much fat in the blood, is caused by an excess of this substance provided by your own liver plus pork & donuts",cholesterol
40,8998,TICK TOCK,"DD: $1,500","A victim of sexist obscurity, this kind of timepiece stands between 5 & 6' tall, like one appraised on ""Antiques Roadshow"" in 2012",a grandmother clock
40,8998,FACE BOOKS,$1600,Tea Cake is Janie Crawford's third husband in this classic by Zora Neale Hurston,Their Eyes Were Watching God
40,8998,INSTA-GRAHAM,$1600,"The official account of her dance company posted a video of her dancing in ""Appalachian Spring"" in 1947",Martha Graham
40,8998,CANALS,$2000,"This Asian capital has been called the ""Venice of the East"", though most of the smaller khlongs or canals have been filled in",Bangkok
40,8998,"""I"" + 4",$2000,"In ""Doctor Faustus"" Christopher Marlowe uses this name for Troy",Ilium
40,8998,TOO MUCH OF SOMETHING,"DD: $2,000","To us this Greek word means excess pride; to Aristotle, it meant shaming   others for one's own pleasure (perhaps out of pride)",hubris
40,8998,TICK TOCK,$2000,In the early '60s this Greek-letter brand was a big deal with JFK's Slimline & Mercury astronaut Wally Schirra's Speedmaster,Omega
40,8998,FACE BOOKS,$2000,Cultural appropriation is at the heart of this novel by R.F. Kuang; a white woman steals a manuscript written by her Asian friend,Yellowface
40,8998,INSTA-GRAHAM,$2000,He often posts about his BBC chat show & his GN wine,Graham Norton
40,8997,FACTS ABOUT WORLD WAR I,$200,"To confuse & thwart infiltrators, blind alleys with dead ends & zigzag patterns were used as part of constructing these",trenches
40,8997,THEY COME IN PAIRS,$200,"Before these were tiny headphones, the term referred to little shoots of young corn",earbuds
40,8997,WORDS IN A DICKENS TITLE,$200,To wrench an ankle; ouch!,twist
40,8997,"PUTTING THE ""T"" IN TV",$200,Emeril Lagasse & Wolfgang Puck have served as judges on this competition that's been cooking since 2006,Top Chef
40,8997,SCIENCE: MISSED IT BY THAT MUCH,$200,"""How Deep Is"" this, asks a song standard--a 2010 estimate says 12,080' mean depth so John Murray in 1888 was pretty close at 12,480'","""The Ocean"""
40,8997,"ROCK, PAPER, SCISSORS",$200,You'll want to use paper called kami that's thinner & often 6 inches square for this craft with a Japanese name,origami
40,8997,FACTS ABOUT WORLD WAR I,$400,"In 1915, British troops landed at Cape Helles near Gallipoli to try to seize this strait whose old name may be an easier get",the Hellespont (the Dardanelles)
40,8997,THEY COME IN PAIRS,$400,A 90-pack--that's 45 pairs!--of these from Bausch & Lomb should keep things clear for awhile,contact lenses
40,8997,WORDS IN A DICKENS TITLE,$400,It's said to have finished off the nosy feline,curiosity
40,8997,"PUTTING THE ""T"" IN TV",$400,"From 1993 to 2001,Chuck Norriswas Walker, this",Texas Ranger
40,8997,SCIENCE: MISSED IT BY THAT MUCH,$400,"In the 1860s John Newlands arranged the 56 known these according to a soon-discredited ""Law of Octaves""",elements
40,8997,"ROCK, PAPER, SCISSORS",$400,This word for heavy scissors used to cut metal or hair tells you what they do,shears
40,8997,FACTS ABOUT WORLD WAR I,$600,"British soldiers during the war were called Tommies & U.S. soldiers were called by this ""flour""-y name",Doughboys
40,8997,THEY COME IN PAIRS,$600,"Before cellphones, every kid wanted a pair of these rhyming handheld communication devices",walkie talkies
40,8997,WORDS IN A DICKENS TITLE,"DD: $1,000",Type of fund that invests in diversified securities,mutual
40,8997,"PUTTING THE ""T"" IN TV",$600,"Tinky Winky, Dipsy, Laa-Laa & Po were the big 4 on this BBC kids' show that opened with a creepy baby face in the rising sun",Teletubbies
40,8997,SCIENCE: MISSED IT BY THAT MUCH,$600,"At this 7/16/1945 ""Site"", Fermi's guess on bomb yield was off by half--not bad for tossing paper in the air as the blast wave came",the Trinity Site
40,8997,"ROCK, PAPER, SCISSORS",$600,"Slate & marble are types of this rock, formed in most cases when its mineral composition changes",metamorphic
40,8997,FACTS ABOUT WORLD WAR I,$800,"Allied troops from this Western Hemisphere country stormed Vimy Ridge in 1917; they took it at a cost of nearly 4,000 men",Canada
40,8997,THEY COME IN PAIRS,$800,"Galileo made a table of probabilities based on a set of 3 of these, but today we more often see them in pairs",dice
40,8997,WORDS IN A DICKENS TITLE,$800,"As a verb it can mean to sing joyously, perhaps at holiday time",carol
40,8997,"PUTTING THE ""T"" IN TV",$800,"It preceded ""The Sarah Connor Chronicles"" in the title of a sci-fi series",Terminator
40,8997,SCIENCE: MISSED IT BY THAT MUCH,$800,Hipparchus of Bithynia calculated this distance at a bit under 2 million miles; 93 million is more like it,the distance from the Earth to the Sun
40,8997,"ROCK, PAPER, SCISSORS",$800,"If you're baking, this alliterative paper will prevent your batter from sticking to the pan",parchment paper
40,8997,FACTS ABOUT WORLD WAR I,$1000,"To halt a German advance during 1914's First Battle of the Marne, 600 of these transports brought 3,000 French troops to the front",taxicabs
40,8997,THEY COME IN PAIRS,$1000,"Up to 7 feet long, the traditional Alaskan type of these are great for walking on deep, dry powder in open country",snowshoes
40,8997,WORDS IN A DICKENS TITLE,$1000,This type of secret cult religion in the ancient Greco-Roman world offered unique experiences unlike those in the standard faiths,a mystery
40,8997,"PUTTING THE ""T"" IN TV",$1000,"Its 8th & last season finale ended with its characters ringing in January 1, 1980",That '70s Show
40,8997,SCIENCE: MISSED IT BY THAT MUCH,$1000,"The ""Top 10 Erroneous Results"" from Science News include a 2011 finding that these chargeless particles can outrace light",neutrinos
40,8997,"ROCK, PAPER, SCISSORS",$1000,"With roots going back to 1649, this Finnish company began making its distinctive orange-handled scissors in 1967",Fiskars
40,8997,AMERICAN RIVERS,$400,"Washington State has the White River & the river named ""White"" this type of fish that's known to run",Salmon
40,8997,LITERARY HATERADE,$400,"Nabokov went off on this writer: ""I read him... in the early '40s, something about bells... & bulls & I loathed it""",Hemingway
40,8997,ANAGRAMMED ADJECTIVES,$400,Belligerent:ACTIVE MOB,combative
40,8997,RECENTLY ONBILLBOARD'S HOT 100,,,
40,8997,I'M GIVING A PARTY,$400,"A Rishi Sunakolyte, tycoon Mohamed Mansour gave this U.K. party millions of pounds in 2023",the Tories (Conservatives)
40,8997,BY INVITATION ONLY,$400,Invitationsto his 1761 coronation depicted him seated beside his queen in Westminster Abbey & angels flying above them,King George III
40,8997,AMERICAN RIVERS,$800,"The ""Philadelphia Inquirer"" once dubbedthisstately waterway ""the river that made Philadelphia""",the Delaware River
40,8997,LITERARY HATERADE,$800,"Charles Baudelaire gave this ""Candide"" author flowers--of evil!--when he called him ""the king of nincompoops""",Voltaire
40,8997,ANAGRAMMED ADJECTIVES,$800,Perplexed:LEWD BEER ID,bewildered
40,8997,RECENTLY ONBILLBOARD'S HOT 100,$800,"Britney Spears praised his recent hit ""Selfish"", but I wouldn't count on seeing the 2 tour together anytime soon",Timberlake
40,8997,I'M GIVING A PARTY,$800,"In 2023 James Cameron & Lucy Lawless each gave the New Zealand version of this nature-protecting party NZ$50,000",the Green Party
40,8997,BY INVITATION ONLY,$800,"Known for cryptic invitations, Apple teased reporters on the event launch of this music device with ""hint: it's not a Mac""",an iPod
40,8997,AMERICAN RIVERS,"DD: $2,000","The Gila River makes its way from New Mexico to Arizona, meeting this other river at Yuma",the Colorado
40,8997,LITERARY HATERADE,$1200,"Norman Mailer bashed this man's fit, saying, ""there is something silly about a man who wears a white suit all the time""",Tom Wolfe
40,8997,ANAGRAMMED ADJECTIVES,$1200,No need to recycle:BOB DRIED ALGAE,biodegradable
40,8997,RECENTLY ONBILLBOARD'S HOT 100,"DD: $2,000","Luke Combs was ""kissin' on a blonde  in a backyard pool"" & let the wild rumpus start with this song, also a kids' book title","""Where The Wild Things Are"""
40,8997,I'M GIVING A PARTY,$1200,This ex-NYC mayor gave the Dems big bucks after ending his 2020 campaign & in 2024 got the Presidential Medal of Freedom,Bloomberg
40,8997,BY INVITATION ONLY,$1200,These parties date from 1809 & invitations to dance with & meet the new president are often collectible,inauguration balls
40,8997,AMERICAN RIVERS,$1600,"Virginia's largest river is this one that's been dubbed the ""Founding River"" due to its role in American history",the James River
40,8997,LITERARY HATERADE,$1600,"Oscar Wilde said there were 2 ways to dislike poetry, 1: just to dislike it. 2: to like this ""Rape of the Lock"" poet",Pope
40,8997,ANAGRAMMED ADJECTIVES,$1600,Faultless:CAMEL BICEP,impeccable
40,8997,RECENTLY ONBILLBOARD'S HOT 100,$1600,"Dua Lipa sang, ""I come & I go, tell me all the ways you need me, I'm not here for long, catch me or I go"" this man",Houdini
40,8997,I'M GIVING A PARTY,$1600,Mining company Vedanta has given this current Indian prime minister's BJP Party billions of rupees,Modi
40,8997,BY INVITATION ONLY,,,
40,8997,AMERICAN RIVERS,$2000,"A source of hydroelectric power for South Carolina, the Catawba River rises in these mountains to the north",the Blue Ridge Mountains
40,8997,LITERARY HATERADE,$2000,"W.H. Auden went in on this 19th century Brit, saying that ""his wife""--also a poet--""probably didn't care for him very much""",Robert Browning
40,8997,ANAGRAMMED ADJECTIVES,$2000,Full of wisdom:GLOBAL WEEKEND,knowledgeable
40,8997,RECENTLY ONBILLBOARD'S HOT 100,$2000,"In what must have been a nice week in 2024 forthisrapper, ""Redrum"" & ""Née-Nah"" were 2 of his 14 tunes on the chart",21 Savage
40,8997,I'M GIVING A PARTY,,,
40,8997,BY INVITATION ONLY,,,
40,8996,MEDALISTS IN PARIS,$200,"Richard Norris Williams won Olympic gold in 1924, 12 years after jumping off this ship into icy water & almost losing his legs",theTitanic
40,8996,IT BORDERS BOTH COUNTRIES,$200,Norway &Mongolia,Russia
40,8996,TELE VISION,$200,"In Season 2 of this show, Kali, aka Eight, has psychic powers & mentors Eleven",Stranger Things
40,8996,DANGER BIRD,$200,The feathers of the hooded pitohui secrete the same toxin as the skin of these frogs named for deadly projectiles,poison dart frogs
40,8996,THEY CALL ME...,$200,"Margaret Thatcher, & I was actually quite chuffed when a Moscow newspaper gave me this nickname",Iron Lady
40,8996,MELLOW YELLOW,$200,"When an ace is combined with any card from a 2 through 9 in this game, it's a soft hand",blackjack
40,8996,MEDALISTS IN PARIS,$400,Chemist Jean-Marie Tarascon won a 2022 gold medal for work on the lithium-ion type of these,battery
40,8996,IT BORDERS BOTH COUNTRIES,$400,Luxembourg &Andorra,France
40,8996,TELE VISION,$400,"As Ed Glosser, the trivial psychic on ""SNL"",hewarned someone they're gonna get an ice cream headache for 8 or 9 seconds",Christopher Walken
40,8996,DANGER BIRD,$400,"Found on Canadian coins, it's known to kill ducks & even others of its own kind that enter its territory",a loon
40,8996,THEY CALL ME...,$400,"Jehanne la Pucelle, or Joan of Arc, but I'm quite fond of the moniker ""Maid of"" this lovely city on the Loire",Orleans
40,8996,MELLOW YELLOW,$400,"Before June gloom & no sky July, sun-loving Southern Californians have to suffer through this related period",the May gray
40,8996,MEDALISTS IN PARIS,$600,TheInstitut de Francehouses 5 of these scholarly bodies & the medals of the one of sciences are awarded under its dome,academies
40,8996,IT BORDERS BOTH COUNTRIES,$600,Kenya &Eritrea,Ethiopia
40,8996,TELE VISION,$600,"In a time-traveling vision, this character sees his father Ned as a younger man & learns a thing or 2 about Jon Snow",Bran Stark
40,8996,DANGER BIRD,$600,In 2013 a Kansas zoo went viral with a video of one of these big birds honking & chasing a gorilla around its enclosure,a (Canada) goose
40,8996,THEY CALL ME...,$600,Benjamin Siegel--I'm a gangster & friends gave me this nickname; enemies who use it are cruising for a bruising,Bugsy
40,8996,MELLOW YELLOW,$600,"Steadfastly loyal, as in the title of a 1986 Madonna hit",true blue
40,8996,MEDALISTS IN PARIS,$800,"Born during the French Open in 1986, he grew up to dominate the event & receive the Grand Vermeil Medal of the City of Paris",Nadal
40,8996,IT BORDERS BOTH COUNTRIES,"DD: $1,000",Ecuador &Bolivia,Peru
40,8996,TELE VISION,$800,"In this series based on a Stephen King novel, Anthony Michael Hall wakes up from a coma with psychic abilities",The Dead Zone
40,8996,DANGER BIRD,$800,"Mimus polyglottos,it's notorious for dive-bombing humans & other animals that approach its nests",a mockingbird
40,8996,THEY CALL ME...,$800,"""Uncle Sam""; you may be familiar with a historic WWI recruiting poster in which these 3 words implored Americans to join up",I want you
40,8996,MELLOW YELLOW,$800,"A chilled beverage from Starbucks with coconut milk, açaí & strawberry is called this",the Pink Drink
40,8996,MEDALISTS IN PARIS,$1000,Military medal ceremonies are often  held in the courtyard ofthiscomplex that was begun to serve injured veterans,Les Invalides
40,8996,IT BORDERS BOTH COUNTRIES,$1000,Guatemala &Nicaragua,Honduras
40,8996,TELE VISION,$1000,I have a vision that you'll name this show that starred supernaturally gifted Patricia Arquette as a crime solver,Medium
40,8996,DANGER BIRD,$1000,"Called the world's most dangerous bird,thisemu relative has dagger-like toes & can run 30 miles per hour or more",a cassowary
40,8996,THEY CALL ME...,$1000,"""La Divina"", & I'm this soprano who made a sizzling headliner at La Scala in 1951",(Maria) Callas
40,8996,MELLOW YELLOW,$1000,"In French, this veggie is un haricot vert",a green bean
40,8996,AMERICAN HISTORY,$400,"An 1882 Exclusion Act barred immigrants from this country, though many had built the Central Pacific Railroad",China
40,8996,HODGEPODGE,$400,"The earliest known flag of orange, white & green stripes to represent this country dates from 1848",Ireland
40,8996,MY ART IS FULL,$400,"Keeping art very local from the 1890s until 1926, Monet's series of about 250 oil paintings focused on a pond of these in his garden",water lilles
40,8996,4-LETTER WORDS,$400,Fix your female kitty,spay
40,8996,HOLLYWOOD FAMILIES,$400,"(Michael Douglas presents the clue.)  With showbiz roots that go back to his maternal great grandfather,Harry Warner, of Warner Brothers fame,Cole Hauserplays tough guy ranch foreman Rip Wheeler on this series",Yellowstone
40,8996,NOVEL CHANGE A LETTER,$400,Ranch hands George & Lennie embrace a Buddhist state of calm,Of Mice and Zen
40,8996,AMERICAN HISTORY,$800,"Before succeeding Thomas Jefferson as president, James Madison served for 8 years in TJ's Cabinet in this post",Secretary of State
40,8996,HODGEPODGE,$800,"Pope Siricius is remembered for a 4th c. edict requiring this practice for priests, among whom he was probably not popular",celibacy
40,8996,MY ART IS FULL,$800,"2 big events for this woman in 1958: she painted ""Making Apple Butter"" & also turned 98",Grandma Moses
40,8996,4-LETTER WORDS,$800,That's some nerve; it's also another word for bile,gall
40,8996,HOLLYWOOD FAMILIES,$800,Kate & Oliver Hudson have praise for mom Goldie Hawn & this actor-stepdad who helped raise them,Kurt Russell
40,8996,NOVEL CHANGE A LETTER,$800,Upton Sinclair's magnum opus about one man's attempt to write the perfect catchy advertising tune,The Jingle
40,8996,AMERICAN HISTORY,$1200,"This epidemic came to the U.S. in 1918 & spread rapidly in densely populated barracks, like at Fort Riley in Kansas",the Spanish flu
40,8996,HODGEPODGE,$1200,Candy Lightner led a movement against this after it led to her daughter's death while walking to a church carnival,drunk driving
40,8996,MY ART IS FULL,$1200,Here's a classic sample of this '80s artist who opened The Pop Shop in New York City before dying far too young in 1990,Keith Haring
40,8996,4-LETTER WORDS,"DD: $2,000","Sometimes preceding probandi, this burden is on you",onus
40,8996,HOLLYWOOD FAMILIES,$1200,"(Michael Douglas presents the clue.) Early in their careers,thesetwo brothers appeared on their father Lloyd's TV adventure series ""Sea Hunt""",Jeff & Beau Bridges
40,8996,NOVEL CHANGE A LETTER,$1200,H.G. Wells' sordid tale of a man who creates a device capable of making a distressing number of clones of Marcel Marceau,The Mime Machine
40,8996,AMERICAN HISTORY,$1600,"In 1916 this Mexican bandit & revolutionary attacked Columbus, New Mexico, killing 18 U.S. citizens",Pancho Villa
40,8996,HODGEPODGE,$1600,"Scientifically Chironex fleckeri, the sea wasp is a deadly Pacific variety of this",a jellyfish
40,8996,MY ART IS FULL,"DD: $5,800","In 1796 this artist may not have finished painting George Washington's head, but the image was on the money in 1869",(Gilbert) Stuart
40,8996,4-LETTER WORDS,$1600,Osculate,kiss
40,8996,HOLLYWOOD FAMILIES,$1600,"An actress & now a singer, she made the cover of People magazine as an infant, ""Elvis's First Grandchild""",Riley Keough
40,8996,NOVEL CHANGE A LETTER,$1600,"Simon & Piggy, in desperate need of cooking supplies, render some fat from winged insects",Lard of the Flies
40,8996,AMERICAN HISTORY,$2000,"In the years before the Revolution, the colonies stayed in touch via the alliterative Committees of this",Correspondence
40,8996,HODGEPODGE,$2000,"Founded as a British Colonial post in 1893, Entebbe, Uganda is located on the northwest shore of this body of water",Lake Victoria
40,8996,MY ART IS FULL,$2000,"One of the jollier Dutch masters, Jan Steen painted everydaysceneslike  players of this 9-pin bowling game outside an inn",skittles
40,8996,4-LETTER WORDS,$2000,A street urchin or ragamuffin,a waif
40,8996,HOLLYWOOD FAMILIES,$2000,"(Michael Douglas presents the clue.) In the 2015 Western film ""Forsaken"",thisfather & son played father & son on screen for the first time",Donald & Kiefer Sutherland
40,8996,NOVEL CHANGE A LETTER,$2000,"Cormac McCarthy's saga of an aged, female chicken caught up in a world of drugs & killers",No Country for Old Hen
40,8995,FLAVORS,$200,For decades Pop-Tarts' No. 1 bestselling flavor has been frosted this fruit,strawberry
40,8995,ALSO A BIRD,$200,Pharoah or Leno,Jay
40,8995,SPRING IN YOUR STEP,$200,"An order from Gimbels department store helped elevate sales of these sticks, a 1920s fad",pogo sticks
40,8995,SUMMER READING,$200,This 1973 Lois Duncan thriller was turned into a 1997 slasher film with Jennifer Love Hewitt,I Know What You Did Last Summer
40,8995,TAKING A FALL,$200,"In 2024 he stepped into some Majors shoes as stunt man Colt Seavers in ""The Fall Guy""",Ryan Gosling
40,8995,THE WINTER OF OUR DISCONTENT,$200,"Not learning from history & bewaring some ides, King Odoacer of Italy went to a banquet he would not survive on this date in 493",March 15th
40,8995,FLAVORS,$400,"Traditionally, marzipan gets its unique flavor from these nuts & is often enhanced with the extract",almond
40,8995,ALSO A BIRD,$400,"A jolly escapade, or a prank",a lark
40,8995,SPRING IN YOUR STEP,$400,"A nursery rhyme concerns nimble, quick Jack & this feat of his",jump over the candlestick
40,8995,SUMMER READING,"DD: $4,600","The nonfiction ""The Boys of Summer"", about the Brooklyn  Dodgers of the 1950s, mentions this ballpark in the subtitle",Ebbets Field
40,8995,TAKING A FALL,$400,"This ""Commando"" actor, holding a guy by his leg over a cliff: ""Remember... when I promised to kill you last?"" (lets go) ""I lied""",Schwarzenegger
40,8995,THE WINTER OF OUR DISCONTENT,$400,"In Feb. 62 A.D. this city & Herculaneum were hit by a big earthquake, but that was nothing compared to what was coming up 17 years later",Pompeii
40,8995,FLAVORS,$600,"Calbee makes Japanese snacks, including Kappa Ebisen crackers, flavored with this shellfish, the ebi",shrimp
40,8995,ALSO A BIRD,$600,Any New Zealander,Kiwi
40,8995,SPRING IN YOUR STEP,$600,"The reptile Phrynocephalus guttatus can jump 8 inches, so a group would qualify for this Little Orphan Annie catchphrase",leapin' lizards!
40,8995,SUMMER READING,$600,"Cousins Beach is the setting for ""The Summer"" I did this, the basis for an Amazon Prime series",The Summer I Turned Pretty
40,8995,TAKING A FALL,$600,"On ""SNL"", Chevy Chase took many clumsy pratfalls while playing this president who, ironically, was a great athlete",Gerald Ford
40,8995,THE WINTER OF OUR DISCONTENT,$600,James Clark was brutally killed in a garage at 2122 North Clark with other Bugs Moran gang members in 1929 on this date,the 14th of February
40,8995,FLAVORS,$800,"Cinnamon, cardamom & ginger are the predominant flavors in this type of tea, Hindi for ""tea""",chai
40,8995,ALSO A BIRD,$800,A poke in the buttocks,goose
40,8995,SPRING IN YOUR STEP,$800,"Call it puma, cougar or by this 2-word name, it has a 40-foot horizontal & 20-foot vertical leap",mountain lion
40,8995,SUMMER READING,$800,"R.L. Stine takes a stab at the bard with his horror tale called ""A Midsummer Night's"" this",Scream
40,8995,TAKING A FALL,$800,"This cop falls down the stairs with--& breaks the neck of--a terrorist, but it's still gonna be a long night for him at Nakatomi Plaza",John McClane
40,8995,THE WINTER OF OUR DISCONTENT,$800,"After dealing with dysentery & disease-bearing mosquitoes the year before, this Virginia colony was decimated by a fire in January 1608",Jamestown
40,8995,FLAVORS,$1000,"Used in a variety of confections,theseseeds are usually described as having a licorice flavor",anise
40,8995,ALSO A BIRD,$1000,Type of number like 1 or 7,cardinal
40,8995,SPRING IN YOUR STEP,$1000,"There's bouncing & leaping aplenty in ""Alegría"", called this troupe's most iconic show",Cirque du Soleil
40,8995,SUMMER READING,$1000,"""Farewell Summer"" was this sci-fi author's 2006 sequel to ""Dandelion Wine"", written almost 50 years before",Ray Bradbury
40,8995,TAKING A FALL,$1000,"Here's this silent movie star, taking a fall as only he could",Buster Keaton
40,8995,THE WINTER OF OUR DISCONTENT,$1000,"In Dec. 1894 this French captain was convicted of selling military secrets to Germany but after an uproar, got a pardon 5 years later",Dreyfus
40,8995,U.S. AREAS & TERRITORIES,$400,"The flag of the Northern Mariana Islands features a latte stone surrounded by a Carolinian mwáár, this floral garland",a lei
40,8995,IT'S ALL GREEK MYTH TO ME,$400,Oceanus & Thea are among these gods who are the children of primordial earth & heaven,Titan
40,8995,TIME FOR SCIENCE,$400,"Telescopes can be reflectors, which use mirrors to focus light, or these, which use lenses",refractors
40,8995,THE ROARING '20s,$400,"In 1921, in Atlantic City, 16-year-oldMargaret Gormanbecame the first woman to win this national beauty title",Miss America
